recordnumber,external_uri
517,cnp02267874
3604,cnp01905094
5052,cnp01325937
5269,cnp01442281
7432,cnp01170393
8059,cnp02137946
8271,cnc00009571
9817,cnp01935376
10015,cni00016737
10684,cnp01296740
11094,cnp02241977
11181,cni00037539
11269,cni00025761
11344,cnp00971725
11571,cnp01951694
11590,cni00022006
11706,cni00065721
11990,cni00078075
11996,cni00085467
12034,cnp01332543
12290,cni00030753
12293,cni00013078
12296,cni00014850
12342,cnp01949408
12343,cnp01381482
12379,cni00079487
12460,cni00030956
12472,cnp01073411
12490,cni00051983
12548,cnp01170289
12689,cni00078476
12721,cni00065367
12749,cni00061439
12780,cnp01908475
12872,cni00082771
12899,cni00047755
13036,cnp01362450
13106,cnp00155781
13330,cni00085532
13363,cni00085547
13485,cni00016485
13506,cnp00080980
13608,cnp02082464
13609,cni00014004
13633,cnc00001165
13693,cnp00599468
13733,cnp02085079
13780,cni00099891
13875,cnp01909397
13996,cnp02158464
14012,cnp01904292
14058,cnp01440347
14266,cni00032957
14364,cnp02085449
14398,cni00013932
14404,cni00034761
14538,cnp02034198
14747,cnp02237479
14806,cnp02081921
14823,cni00044704
14843,cnp00982119
14938,cnp02081832
14940,cni00034785
14966,cnp00345633
15002,cnp01295986
15046,cnp02096143
15172,cni00031143
15181,cni00065457
15188,cni00029230
15209,cnp02084838
15236,cnp01147841
15243,cnp00485160
16337,cnp02137825
16358,cni00063459
16582,cnc00025522
17107,cnp00531559
18938,cnp01075006
19049,cnp01502249
19804,cnp01307076
19977,cnp02017879
20532,cnp01079378
20699,cnp01268651
21431,cni00075083
21433,cni00040172
21479,cnp01379983
21514,cni00062068
21518,cnc00032934
21622,cnp02077927
21669,cnp00512946
21670,cni00039412
21883,cni00062036
21934,cnp00601482
21955,cnp02174041
22021,cni00016554
22229,cnp00584861
22241,cnp01955928
22277,cnp02056307
22294,cnp00359297
22335,cnc00032859